,book_url,book_name
0,/s?k=economics&i=stripbooks&rh=n%3A283155&crid=1BL27K8UDGFRV&qid=1574904164&sprefix=economic%2Cstripbooks%2C209&ref=sr_hi_1,"The Global Economy as You've Never Seen It: 99 Ingenious Infographics That Put It All Together
"
1,/Economics-Book-Ideas-Simply-Explained/dp/1465473912/ref=sr_1_6?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-6,"Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty
"
2,/Good-Economics-Times-Abhijit-Banerjee/dp/1610399501/ref=sr_1_3?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-3,"Economics in One Lesson: The Shortest and Surest Way to Understand Basic Economics
"
3,/Economics-One-Lesson-Shortest-Understand/dp/0517548232/ref=sr_1_4?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-4,"Basic Economics, Fifth Edition: A Common Sense Guide to the Economy
"
4,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg1_2?ie=UTF8&adId=A0043835185PSKZ38QKUG&url=%2FEconomics-Book-Ideas-Simply-Explained%2Fdp%2F0756698278%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1BL27K8UDGFRV%26keywords%3Deconomics%26qid%3D1574904164%26s%3Dbooks%26sprefix%3Deconomic%252Cstripbooks%252C209%26sr%3D1-12-spons%26psc%3D1&qualifier=1574904164&id=2759322981302288&widgetName=sp_mtf,"Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist
"
5,/Poor-Economics-Radical-Rethinking-Poverty/dp/1610390938/ref=sr_1_7?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-7,"Naked Economics: Undressing the Dismal Science
"
6,/Principles-Economics-N-Gregory-Mankiw/dp/1305585127/ref=sr_1_18?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-18,"Principles of Economics, 7th Edition
"
7,/Misbehaving-Making-Behavioral-Economics/dp/B00VQTALSA/ref=sr_1_14?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-14,"Economics 101: From Consumer Behavior to Competitive Markets--Everything You Need to Know About Economics (Adams 101)
"
8,/Economics-101-Consumer-Competitive-Markets-Everything/dp/144059340X/ref=sr_1_15?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-15,"Common Sense Economics: What Everyone Should Know About Wealth and Prosperity
"
9,/Economics-Through-Everyday-Life-Marijuana/dp/1623156688/ref=sr_1_20?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-20,"The New School of Economics: The Platform and Theory Behind the New Physiocrats
"
10,/Naked-Economics-Undressing-Dismal-Science/dp/0393356493/ref=sr_1_8?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-8,"Narrative Economics: How Stories Go Viral and Drive Major Economic Events
"
11,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg1_1?ie=UTF8&adId=A0541421294W796S46PNI&url=%2FNew-School-Economics-Platform-Physiocrats-ebook%2Fdp%2FB07B6329KQ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D1BL27K8UDGFRV%26keywords%3Deconomics%26qid%3D1574904164%26s%3Dbooks%26sprefix%3Deconomic%252Cstripbooks%252C209%26sr%3D1-21-spons%26psc%3D1&qualifier=1574904164&id=2759322981302288&widgetName=sp_btf,"Economics Through Everyday Life: From China and Chili Dogs to Marx and Marijuana
"
12,/Big-Debt-Crises-Ray-Dalio/dp/1732689806/ref=sr_1_17?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-17,"Principles of Economics
"
13,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_1?ie=UTF8&adId=A0185657O9AZL1ZQZ08Z&url=%2FGlobal-Economy-Youve-Never-Seen%2Fdp%2F1615195173%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1BL27K8UDGFRV%26keywords%3Deconomics%26qid%3D1574904164%26s%3Dbooks%26sprefix%3Deconomic%252Cstripbooks%252C209%26sr%3D1-1-spons%26psc%3D1&qualifier=1574904164&id=2759322981302288&widgetName=sp_atf,"The Fed and Lehman Brothers: Setting the Record Straight on a Financial Disaster (Studies in Macroeconomic History)
"
14,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_2?ie=UTF8&adId=A03335932B9H1IQ0P5G3L&url=%2FFed-Lehman-Brothers-Financial-Macroeconomic%2Fdp%2F1108420966%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1BL27K8UDGFRV%26keywords%3Deconomics%26qid%3D1574904164%26s%3Dbooks%26sprefix%3Deconomic%252Cstripbooks%252C209%26sr%3D1-2-spons%26psc%3D1&qualifier=1574904164&id=2759322981302288&widgetName=sp_atf,"Good Economics for Hard Times
"
15,/Common-Sense-Economics-Everyone-Prosperity/dp/125010694X/ref=sr_1_16?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-16,"Big Debt Crises
"
16,/Narrative-Economics-Stories-Economic-Events/dp/0691182299/ref=sr_1_9?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-9,"The New Confessions of an Economic Hit Man
"
17,/New-Confessions-Economic-Hit-Man/dp/B019G3T20U/ref=sr_1_10?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-10,"Every Job is a Sales Job: How to Use the Art of Selling to Win at Work
"
18,/Doughnut-Economics-Seven-21st-Century-Economist/dp/1603587969/ref=sr_1_13?crid=1BL27K8UDGFRV&keywords=economics&qid=1574904164&s=books&sprefix=economic%2Cstripbooks%2C209&sr=1-13,"Misbehaving: The Making of Behavioral Economics
"
19,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg1_1?ie=UTF8&adId=A00936813MFV4XQGX5HO6&url=%2FEvery-Job-Sales-Selling-Work%2Fdp%2F1260457370%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1BL27K8UDGFRV%26keywords%3Deconomics%26qid%3D1574904164%26s%3Dbooks%26sprefix%3Deconomic%252Cstripbooks%252C209%26sr%3D1-11-spons%26psc%3D1&qualifier=1574904164&id=2759322981302288&widgetName=sp_mtf,"The Economics Book: Big Ideas Simply Explained
"
